Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,Acc_classesReport,F1_ScoreScore,Precision_ScoreScore,Recall_ScoreScore,Accuracy_ScoreScore
cybertweets,14414,BERTopic,0day,140,51.23445415496826,"[[9.53125000e-01 6.03960396e-01 7.39393939e-01 1.01000000e+02]
 [9.80943306e-01 9.98545102e-01 9.89665946e-01 2.06200000e+03]
 [9.80120203e-01 9.80120203e-01 9.80120203e-01 9.80120203e-01]
 [9.67034153e-01 8.01252749e-01 8.64529943e-01 2.16300000e+03]
 [9.79644347e-01 9.80120203e-01 9.77979643e-01 2.16300000e+03]]",0.980028048,0.98201189,0.9819694868238558,0.9815071659731854
cybertweets,14414,BERTopic,0day,150,51.090819120407104,"[[8.54838710e-01 5.24752475e-01 6.50306748e-01 1.01000000e+02]
 [9.77153736e-01 9.95635306e-01 9.86307951e-01 2.06200000e+03]
 [9.73647712e-01 9.73647712e-01 9.73647712e-01 9.73647712e-01]
 [9.15996223e-01 7.60193890e-01 8.18307350e-01 2.16300000e+03]
 [9.71442309e-01 9.73647712e-01 9.70618574e-01 2.16300000e+03]]",0.97188382,0.9735029997523186,0.9750346740638004,0.982431808
cybertweets,14414,BERTopic,botnet,20,50.06632399559021,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.07000000e+02]
 [9.50531669e-01 1.00000000e+00 9.74638540e-01 2.05600000e+03]
 [9.50531669e-01 9.50531669e-01 9.50531669e-01 9.50531669e-01]
 [4.75265834e-01 5.00000000e-01 4.87319270e-01 2.16300000e+03]
 [9.03510454e-01 9.50531669e-01 9.26424798e-01 2.16300000e+03]]",0.9264247980181678,0.9035104537306172,0.9505316689782708,0.9505316689782708
cybertweets,14414,BERTopic,botnet,30,47.47739720344544,"[[6.33333333e-01 3.55140187e-01 4.55089820e-01 1.07000000e+02]
 [9.67189729e-01 9.89299611e-01 9.78119740e-01 2.05600000e+03]
 [9.57928803e-01 9.57928803e-01 9.57928803e-01 9.57928803e-01]
 [8.00261531e-01 6.72219899e-01 7.16604780e-01 2.16300000e+03]
 [9.50674410e-01 9.57928803e-01 9.52246323e-01 2.16300000e+03]]",0.952246323,0.9506744102661172,0.9579288025889968,0.9630143319463708
cybertweets,14414,BERTopic,botnet,40,47.84194850921631,"[[8.00000000e-01 3.73831776e-01 5.09554140e-01 1.07000000e+02]
 [9.68291529e-01 9.95136187e-01 9.81530343e-01 2.05600000e+03]
 [9.64401294e-01 9.64401294e-01 9.64401294e-01 9.64401294e-01]
 [8.84145764e-01 6.84483981e-01 7.45542242e-01 2.16300000e+03]
 [9.59966428e-01 9.64401294e-01 9.58182468e-01 2.16300000e+03]]",0.958182468,0.959966428,0.964401294,0.964401294
cybertweets,14414,BERTopic,botnet,50,50.77683448791504,"[[8.37209302e-01 3.36448598e-01 4.80000000e-01 1.07000000e+02]
 [9.66509434e-01 9.96595331e-01 9.81321839e-01 2.05600000e+03]
 [9.63938974e-01 9.63938974e-01 9.63938974e-01 9.63938974e-01]
 [9.01859368e-01 6.66521964e-01 7.30660920e-01 2.16300000e+03]
 [9.60113172e-01 9.63938974e-01 9.56522284e-01 2.16300000e+03]]",0.9565222843964056,0.9601131722493076,0.9639389736477116,0.9648636153490524
cybertweets,14414,BERTopic,botnet,60,48.77275276184082,"[[8.88888889e-01 3.73831776e-01 5.26315789e-01 1.07000000e+02]
 [9.68366383e-01 9.97568093e-01 9.82750359e-01 2.05600000e+03]
 [9.66712899e-01 9.66712899e-01 9.66712899e-01 9.66712899e-01]
 [9.28627636e-01 6.85699935e-01 7.54533074e-01 2.16300000e+03]
 [9.64434764e-01 9.66712899e-01 9.60171303e-01 2.16300000e+03]]",0.9601713029742446,0.9644347643742568,0.9667128987517336,0.9667128987517336
cybertweets,14414,BERTopic,botnet,70,52.24082422,"[[9.06976744e-01 3.64485981e-01 5.20000000e-01 1.07000000e+02]
 [9.67924528e-01 9.98054475e-01 9.82758621e-01 2.05600000e+03]
 [9.66712899e-01 9.66712899e-01 9.66712899e-01 9.66712899e-01]
 [9.37450636e-01 6.81270228e-01 7.51379310e-01 2.16300000e+03]
 [9.64909543e-01 9.66712899e-01 9.59866724e-01 2.16300000e+03]]",0.9598667240582204,0.9649095431422036,0.9667128987517336,0.9704114655570968
cybertweets,14414,BERTopic,botnet,80,51.000019550323486,"[[7.91666667e-01 3.55140187e-01 4.90322581e-01 1.07000000e+02]
 [9.67375887e-01 9.95136187e-01 9.81059698e-01 2.05600000e+03]
 [9.63476653e-01 9.63476653e-01 9.63476653e-01 9.63476653e-01]
 [8.79521277e-01 6.75138187e-01 7.35691139e-01 2.16300000e+03]
 [9.58683845e-01 9.63476653e-01 9.56783752e-01 2.16300000e+03]]",0.9587519108376156,0.9633107528445716,0.965788257,0.9639389736477116
cybertweets,14414,BERTopic,botnet,90,50.00910449028015,"[[8.84615385e-01 4.29906542e-01 5.78616352e-01 1.07000000e+02]
 [9.71103742e-01 9.97081712e-01 9.83921286e-01 2.05600000e+03]
 [9.69024503e-01 9.69024503e-01 9.69024503e-01 9.69024503e-01]
 [9.27859563e-01 7.13494127e-01 7.81268819e-01 2.16300000e+03]
 [9.66825308e-01 9.69024503e-01 9.63871528e-01 2.16300000e+03]]",0.9632021178493692,0.9662763310678788,0.9685621821544153,0.959315765
cybertweets,14414,BERTopic,botnet,100,46.40814423561096,"[[8.62068966e-01 4.67289720e-01 6.06060606e-01 1.07000000e+02]
 [9.72921615e-01 9.96108949e-01 9.84378755e-01 2.05600000e+03]
 [9.69949145e-01 9.69949145e-01 9.69949145e-01 9.69949145e-01]
 [9.17495290e-01 7.31699335e-01 7.95219681e-01 2.16300000e+03]
 [9.67437920e-01 9.69949145e-01 9.65663988e-01 2.16300000e+03]]",0.9658902307908566,0.9672683982484128,0.9699491447064262,0.9667128987517336
cybertweets,14414,BERTopic,botnet,110,50.60470080375672,"[[8.08510638e-01 3.55140187e-01 4.93506494e-01 1.07000000e+02]
 [9.67391304e-01 9.95622568e-01 9.81303931e-01 2.05600000e+03]
 [9.63938974e-01 9.63938974e-01 9.63938974e-01 9.63938974e-01]
 [8.87950971e-01 6.75381378e-01 7.37405212e-01 2.16300000e+03]
 [9.59531743e-01 9.63938974e-01 9.57173406e-01 2.16300000e+03]]",0.956783752,0.9586838446733096,0.9634766527970412,0.96717522
cybertweets,14414,BERTopic,botnet,120,50.06321692466736,"[[8.54545455e-01 4.39252336e-01 5.80246914e-01 1.07000000e+02]
 [9.71537002e-01 9.96108949e-01 9.83669549e-01 2.05600000e+03]
 [9.68562182e-01 9.68562182e-01 9.68562182e-01 9.68562182e-01]
 [9.13041228e-01 7.17680643e-01 7.81958231e-01 2.16300000e+03]
 [9.65749625e-01 9.68562182e-01 9.63712904e-01 2.16300000e+03]]",0.9633047496098448,0.9649819109013152,0.9680998613037448,0.965788257
cybertweets,14414,BERTopic,botnet,130,47.66015005111694,"[[8.44444444e-01 3.55140187e-01 5.00000000e-01 1.07000000e+02]
 [9.67422096e-01 9.96595331e-01 9.81792046e-01 2.05600000e+03]
 [9.64863615e-01 9.64863615e-01 9.64863615e-01 9.64863615e-01]
 [9.05933270e-01 6.75867759e-01 7.40896023e-01 2.16300000e+03]
 [9.61338597e-01 9.64863615e-01 9.57958598e-01 2.16300000e+03]]",0.9549239589800488,0.9556487796851888,0.9616273693943596,0.9713361072584372
cybertweets,14414,BERTopic,botnet,140,46.75114798545837,"[[7.83333333e-01 4.39252336e-01 5.62874251e-01 1.07000000e+02]
 [9.71469330e-01 9.93677043e-01 9.82447704e-01 2.05600000e+03]
 [9.66250578e-01 9.66250578e-01 9.66250578e-01 9.66250578e-01]
 [8.77401331e-01 7.16464690e-01 7.72660978e-01 2.16300000e+03]
 [9.62162556e-01 9.66250578e-01 9.61692105e-01 2.16300000e+03]]",0.9633047496098448,0.9649819109013152,0.9680998613037448,0.9625520110957004
cybertweets,14414,BERTopic,botnet,150,47.99976158,"[[8.57142857e-01 3.36448598e-01 4.83221477e-01 1.07000000e+02]
 [9.66525224e-01 9.97081712e-01 9.81565717e-01 2.05600000e+03]
 [9.64401294e-01 9.64401294e-01 9.64401294e-01 9.64401294e-01]
 [9.11834041e-01 6.66765155e-01 7.32393597e-01 2.16300000e+03]
 [9.61114261e-01 9.64401294e-01 9.56913459e-01 2.16300000e+03]]",0.9549771702635452,0.9565282844765088,0.96208969,0.9611650485436892
cybertweets,14414,BERTopic,ddos,20,48.85921907424927,"[[7.17592593e-01 4.59940653e-01 5.60578662e-01 3.37000000e+02]
 [9.06522856e-01 9.66593647e-01 9.35595017e-01 1.82600000e+03]
 [8.87656033e-01 8.87656033e-01 8.87656033e-01 8.87656033e-01]
 [8.12057724e-01 7.13267150e-01 7.48086840e-01 2.16300000e+03]
 [8.77087119e-01 8.87656033e-01 8.77166672e-01 2.16300000e+03]]",0.8771666715207198,0.8770871188936572,0.8876560332871013,0.8978270920018493
cybertweets,14414,BERTopic,ddos,30,47.231107234954834,"[[9.00000000e-01 5.34124629e-01 6.70391061e-01 3.37000000e+02]
 [9.20020377e-01 9.89047097e-01 9.53285827e-01 1.82600000e+03]
 [9.18169209e-01 9.18169209e-01 9.18169209e-01 9.18169209e-01]
 [9.10010188e-01 7.61585863e-01 8.11838444e-01 2.16300000e+03]
 [9.16901160e-01 9.18169209e-01 9.09210221e-01 2.16300000e+03]]",0.9085261865425284,0.9152085158937074,0.9172445677300046,0.9223300970873788
cybertweets,14414,BERTopic,ddos,40,52.305638790130615,"[[8.89423077e-01 5.48961424e-01 6.78899083e-01 3.37000000e+02]
 [9.22250639e-01 9.87404162e-01 9.53715948e-01 1.82600000e+03]
 [9.19093851e-01 9.19093851e-01 9.19093851e-01 9.19093851e-01]
 [9.05836858e-01 7.68182793e-01 8.16307515e-01 2.16300000e+03]
 [9.17136035e-01 9.19093851e-01 9.10898896e-01 2.16300000e+03]]",0.9104715014100128,0.9164394113109824,0.9186315302820156,0.9172445677300046
