Dataset,Dataset_Size,Model,labellingType,NumberOfTopic,Computation_Time,AddedTime,npmiScore,coherenceCvScore,topic_diversityScore,TopicQuality
cybertweets,21369,CTM,-,120,92.95861006,,0.08545928,0.5772696793487052,0.4208333333333333,0.2429343233925801
cybertweets,21369,CTM,-,130,148.00527238845825,,0.1228978121581543,0.6121267097622226,0.4046153846153846,0.2476758841037916
cybertweets,21369,CTM,-,140,123.41093969345091,,0.1051566868998509,0.5924488977776532,0.4035714285714286,0.2390954480316957
cybertweets,21369,CTM,-,150,89.68068957328796,,0.1225750716763748,0.6011405165883632,0.3633333333333333,0.2184143876937719
cybertweets,21369,LDA,-,20,10.229679822921751,,0.056680016,0.49032194,0.555,0.2721286769219467
cybertweets,21369,LDA,-,30,10.234245777130129,,0.067806783,0.5241106278972432,0.5166666666666667,0.2707904910802423
cybertweets,21369,LDA,-,40,11.768055200576782,,0.02295108,0.4591230783078958,0.5025,0.2307093468497176
cybertweets,21369,LDA,-,50,11.82375979423523,,0.013303998,0.4661953431752878,0.552,0.2573398294327589
cybertweets,21369,LDA,-,60,12.462281465530396,,0.034723097,0.4908770752484768,0.59,0.2896174743966013
cybertweets,21369,LDA,-,70,13.395821571350098,,-0.021635086,0.424702253,0.5757142857142857,0.2445071539804193
cybertweets,21369,LDA,-,80,19.151791095733643,,0.012263261,0.4652302811686847,0.55375,0.2576212681971591
cybertweets,21369,LDA,-,90,22.54843688011169,,-0.011763624,0.438353544,0.57,0.2498615203479182
cybertweets,21369,LDA,-,100,18.22982907295227,,0.015607145,0.4671730535140077,0.558,0.2606825638608163
cybertweets,21369,LDA,-,110,15.901292324066162,,-0.004213664,0.4416886781817317,0.5654545454545454,0.2497548707536701
cybertweets,21369,LDA,-,120,17.574055671691895,,-0.029049902,0.4285283247950679,0.5891666666666666,0.2524746046917608
cybertweets,21369,LDA,-,130,17.239808082580566,,-0.029288909,0.4276819584239886,0.5707692307692308,0.2441077024235381
cybertweets,21369,LDA,-,140,18.58097743988037,,-0.021439143,0.432684653,0.5771428571428572,0.2497208568224617
cybertweets,21369,LDA,-,150,18.61674213409424,,-0.052968555,0.42230134,0.5873333333333334,0.24803165379383194
